Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
燕,,71D5,2869,swallow (bird),,,,,,,,,,, 
猿,1028,733F,403,monkey,,,,,,,,,,, 
縁,1030,7E01,1372,affinity,relation,connection,edge,border,verge,brink,,,,, 
艶,,8276,1755,glossy,luster,glaze,polish,charm,colorful,captivating,,,,, 
苑,,82D1,1419,garden,farm,park,,,,,,,,, 
薗,,8597,2974,garden,yard,farm,,,,,,,,, 
遠,79,9060,402,distant,far,,,,,,,,,, 
鉛,1029,925B,794,lead,,,,,,,,,,, 
塩,428,5869,1458,salt,,,,,,,,,,, 
於,,65BC,2900,at,in,on,as for,,,,,,,, 
汚,1031,6C5A,1245,dirty,pollute,disgrace,rape,defile,,,,,,, 
甥,,7525,2910,nephew,,,,,,,,,,, 
凹,1032,51F9,33,concave,hollow,sunken,,,,,,,,, 
央,429,592E,1740,center,middle,,,,,,,,,, 
奥,1038,5965,928,heart,interior,,,,,,,,,, 
往,623,5F80,880,journey,travel,chase away,let go,going,before,formerly,,,,, 
応,622,5FDC,607,apply,answer,yes,OK,reply,accept,,,,,, 
押,1033,62BC,1114,push,stop,check,subdue,attach,seize,weight,shove,press,seal,do in spite of, 
旺,,65FA,2450,flourishing,successful,beautiful,vigorous,,,,,,,, 
横,235,6A2A,1751,sideways,side,horizontal,width,woof,,,,,,, 
欧,1034,6B27,1699,Europe,,,,,,,,,,, 
殴,1035,6BB4,1698,assault,hit,beat,thrash,,,,,,,, 
王,5,738B,255,king,rule,magnate,,,,,,,,, 
翁,1037,7FC1,786,venerable old man,,,,,,,,,,, 
襖,,8956,2627,opaque sliding door,,,,,,,,,,, 
鴬,,9D2C,2907,nightingale,bush warbler,,,,,,,,,, 
鴎,,9D0E,2828,seagull,,,,,,,,,,, 
黄,120,9EC4,1750,yellow,,,,,,,,,,, 
岡,,5CA1,1961,mount,hill,knoll,,,,,,,,, 
沖,1583,6C96,138,open sea,offing,rise high into sky,,,,,,,,, 
荻,,837B,242,reed,rush,,,,,,,,,, 
億,430,5104,983,hundred million,10**8,,,,,,,,,, 
屋,236,5C4B,1058,roof,house,shop,dealer,seller,,,,,,, 
憶,1039,61B6,632,recollection,think,remember,,,,,,,,, 
臆,,81C6,2460,timidity,heart,mind,fear,cowardly,,,,,,, 
桶,,6876,2530,tub,bucket,,,,,,,,,, 
牡,,7261,2552,male,,,,,,,,,,, 
乙,1041,4E59,71,the latter,duplicate,strange,witty,fishhook radical (no. 5),,,,,,, 
俺,,4FFA,2058,I,myself,,,,,,,,,, 
卸,1042,5378,1397,wholesale,,,,,,,,,,, 
恩,624,6069,606,grace,kindness,goodness,favor,mercy,blessing,benefit,,,,, 
温,237,6E29,1452,warm,,,,,,,,,,, 
穏,1043,7A4F,1147,calm,quiet,moderation,,,,,,,,, 
音,6,97F3,479,sound,noise,,,,,,,,,, 
下,7,4E0B,50,below,down,descend,give,low,inferior,,,,,, 
化,238,5316,1008,change,take the form of,influence,enchant,delude,-ization,,,,,, 
仮,625,4EEE,966,sham,temporary,interim,assumed (name),informal,,,,,,, 
何,80,4F55,1012,what,,,,,,,,,,, 
伽,,4F3D,2115,nursing,attending,entertainer,,,,,,,,, 
価,626,4FA1,1603,value,price,,,,,,,,,, 
佳,1044,4F73,970,excellent,beautiful,good,pleasing,skilled,,,,,,, 
加,431,52A0,867,add,addition,increase,join,include,Canada,,,,,, 
可,816,53EF,93,can,passable,mustn't,should not,do not,,,,,,, 
嘉,,5609,2852,applaud,praise,esteem,happy,auspicious,,,,,,, 
夏,82,590F,296,summer,,,,,,,,,,, 
嫁,1049,5AC1,542,marry into,bride,,,,,,,,,, 
家,83,5BB6,541,house,home,family,professional,expert,performer,,,,,, 
寡,1053,5BE1,617,widow,minority,few,,,,,,,,, 
科,81,79D1,1179,department,course,section,,,,,,,,, 
暇,1050,6687,1882,spare time,rest,leisure,time,leave of absence,,,,,,, 
果,627,679C,1121,fruit,reward,carry out,achieve,complete,end,finish,succeed,,,, 
架,1045,67B6,869,erect,frame,mount,support,shelf,construct,,,,,, 
歌,84,6B4C,469,song,sing,,,,,,,,,, 
河,628,6CB3,146,river,,,,,,,,,,, 
火,8,706B,161,fire,,,,,,,,,,, 
禍,1051,798D,1291,calamity,misfortune,evil,curse,,,,,,,, 
稼,1055,7A3C,893,earnings,work,earn money,,,,,,,,, 
箇,1054,7B87,2029,counters for things,,,,,,,,,,, 
花,9,82B1,1009,flower,,,,,,,,,,, 
苛,,82DB,2373,torment,scold,chastise,,,,,,,,, 
茄,,8304,2372,eggplant,,,,,,,,,,, 
荷,239,8377,1013,baggage,shoulder-pole load,bear (a burden),shoulder (a gun),load,cargo,freight,,,,, 
華,1046,83EF,1581,splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous,,, 
菓,1047,83D3,1122,candy,cakes,fruit,,,,,,,,, 
蝦,,8766,2689,shrimp,prawn,lobster,,,,,,,,, 
課,433,8AB2,1123,chapter,lesson,section,department,division,counter for chapters (of a book),,,,,, 
嘩,,5629,2160,noisy,,,,,,,,,,, 
貨,432,8CA8,1010,freight,goods,property,,,,,,,,, 
迦,,8FE6,2959,(used phonetically),,,,,,,,,,, 
過,629,904E,1293,overdo,exceed,go beyond,error,,,,,,,, 
霞,,971E,2779,be hazy,grow dim,blurred,,,,,,,,, 
蚊,1056,868A,1728,mosquito,,,,,,,,,,, 
俄,,4FC4,2110,sudden,abrupt,improvised,,,,,,,,, 
峨,,5CE8,2226,high mountain,,,,,,,,,,, 
我,817,6211,640,ego,I,selfish,our,oneself,,,,,,, 
牙,,7259,1904,tusk,fang,tusk radical (no. 92),,,,,,,,, 
画,85,753B,1170,brush-stroke,picture,,,,,,,,,, 
臥,,81E5,2909,bend down,bow,lie prostrate,,,,,,,,, 
芽,434,82BD,1905,bud,sprout,spear,germ,,,,,,,, 
蛾,,86FE,2694,moth,,,,,,,,,,, 
賀,630,8CC0,868,congratulations,joy,,,,,,,,,, 
雅,1057,96C5,1907,gracious,elegant,graceful,refined,,,,,,,, 
餓,1058,9913,1476,starve,hungry,thirst,,,,,,,,, 
駕,,99D5,2803,vehicle,palanquin,litter,hitch up an animal,,,,,,,, 
介,1059,4ECB,250,jammed in,shellfish,mediate,concern oneself with,,,,,,,, 
会,87,4F1A,752,meeting,meet,party,association,interview,join,,,,,, 
解,632,89E3,1814,unravel,notes,key,explanation,understanding,untie,undo,solve,answer,cancel,absolve,explain 
回,86,56DE,586,-times,round,game,revolve,counter for occurrences,,,,,,, 
塊,1065,584A,2024,clod,lump,chunk,clot,mass,,,,,,, 
壊,1066,58CA,400,demolition,break,destroy,,,,,,,,, 
廻,,5EFB,2886,round,game,revolve,go around,circumference,,,,,,, 
快,631,5FEB,1642,cheerful,pleasant,agreeable,comfortable,,,,,,,, 
怪,1061,602A,716,suspicious,mystery,apparition,,,,,,,,, 
悔,1063,6094,625,repent,regret,,,,,,,,,, 
恢,,6062,2282,wide,large,enlarge,,,,,,,,, 
懐,1067,61D0,828,pocket,feelings,heart,yearn,miss someone,become attached to,bosom,breast,,,, 
戒,1060,6212,676,commandment,,,,,,,,,,, 
拐,1062,62D0,656,kidnap,falsify,,,,,,,,,, 
改,435,6539,528,reformation,change,modify,mend,renew,examine,inspect,search,,,, 
魁,,9B41,2924,charging ahead of others,,,,,,,,,,, 
晦,,6666,2452,dark,disappear,,,,,,,,,, 
械,436,68B0,677,contraption,fetter,machine,instrument,,,,,,,, 
海,88,6D77,461,sea,ocean,,,,,,,,,, 
灰,818,7070,168,ashes,puckery juice,cremate,,,,,,,,, 
界,240,754C,251,world,,,,,,,,,,, 
皆,1064,7686,449,all,everything,,,,,,,,,, 
絵,89,7D75,1346,picture,drawing,painting,sketch,,,,,,,, 
芥,,82A5,2376,mustard,rape,dust,trash,rubbish,,,,,,, 
蟹,,87F9,2682,crab,,,,,,,,,,, 
開,241,958B,1622,open,unfold,unseal,,,,,,,,, 
階,242,968E,1309,storey,stair,counter for storeys of a building,,,,,,,,, 
貝,90,8C9D,54,shellfish,,,,,,,,,,, 
凱,,51F1,2077,victory song,,,,,,,,,,, 
劾,1068,52BE,1523,censure,criminal investigation,,,,,,,,,, 
外,91,5916,111,outside,,,,,,,,,,, 
咳,,54B3,2162,cough,clear throat,,,,,,,,,, 
害,437,5BB3,1551,harm,injury,,,,,,,,,, 
崖,,5D16,2227,cliff,bluff,precipice,,,,,,,,, 
慨,1070,6168,1483,rue,be sad,sigh,lament,,,,,,,, 
概,1072,6982,1482,outline,condition,approximation,generally,,,,,,,, 
涯,1069,6DAF,157,horizon,shore,,,,,,,,,, 
碍,,788D,2592,obstacle,,,,,,,,,,, 
蓋,,84CB,2388,cover,lid,flap,,,,,,,,, 
街,819,8857,890,boulevard,street,town,,,,,,,,, 
該,1071,8A72,1522,above-stated,the said,that specific,,,,,,,,, 
鎧,,93A7,2076,put on armor,arm oneself,,,,,,,,,, 
骸,,9AB8,2874,bone,body,corpse,,,,,,,,, 
浬,,6D6C,2951,knot,nautical mile,,,,,,,,,, 
馨,,99A8,2925,fragrant,balmy,favourable,,,,,,,,, 
蛙,,86D9,2693,frog,,,,,,,,,,, 
垣,1073,57A3,154,hedge,fence,wall,,,,,,,,, 
柿,,67FF,2481,persimmon,shingle,,,,,,,,,, 
蛎,,86CE,2697,oyster,,,,,,,,,,, 
嚇,1080,5687,2026,menacing,dignity,majesty,threaten,,,,,,,, 
各,438,5404,291,each,every,either,,,,,,,,, 
廓,,5ED3,2235,enclosure,quarter,red-light district,,,,,,,,, 
拡,820,62E1,740,broaden,extend,expand,enlarge,,,,,,,, 
撹,,64B9,2257,disturb,throw into confusion,,,,,,,,,, 
格,633,683C,292,status,rank,capacity,character,case (law, grammar),,,,,,, 
核,1074,6838,1520,nucleus,core,kernel,,,,,,,,, 
殻,1075,6BBB,710,husk,nut shell,,,,,,,,,, 
獲,1079,7372,701,seize,get,find,earn,acquire,can,may,able to,,,, 
確,634,78BA,567,assurance,firm,tight,hard,solid,confirm,clear,evident,,,, 
穫,1081,7A6B,908,harvest,reap,,,,,,,,,, 
覚,439,899A,325,memorize,learn,remember,awake,sober up,,,,,,, 
角,243,89D2,1812,angle,corner,square,horn,antlers,,,,,,, 
赫,,8D6B,2908,suddenly,brighten,illuminate,light up,,,,,,,, 
