Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
純,895,7D14,1494,genuine,purity,innocence,net (profit),,,,,,,, 
巡,1374,5DE1,285,patrol,go around,circumference,,,,,,,,, 
遵,1380,9075,2031,abide by,follow,obey,learn,,,,,,,, 
醇,,9187,2751,pure sake',purity,affection,,,,,,,,, 
順,506,9806,129,obey,order,turn,right,docility,occasion,,,,,, 
処,896,51E6,297,dispose,manage,deal with,sentence,condemn,act,behave,place,,,, 
初,507,521D,404,first time,beginning,,,,,,,,,, 
所,312,6240,1127,place,,,,,,,,,,, 
暑,313,6691,1260,sultry,hot,summer heat,,,,,,,,, 
曙,,66D9,2448,dawn,daybreak,,,,,,,,,, 
渚,,6E1A,1263,strand,beach,shore,,,,,,,,, 
庶,1381,5EB6,1191,commoner,all,bastard,,,,,,,,, 
緒,1382,7DD2,1344,thong,beginning,inception,end,cord,strap,,,,,, 
署,897,7F72,1259,signature,govt office,police station,,,,,,,,, 
書,142,66F8,327,write,,,,,,,,,,, 
薯,,85AF,2365,potato,,,,,,,,,,, 
藷,,85F7,2402,potato,,,,,,,,,,, 
諸,898,8AF8,1261,various,many,several,together,,,,,,,, 
助,314,52A9,1782,help,rescue,assist,,,,,,,,, 
叙,1384,53D9,1660,confer,relate,narrate,describe,,,,,,,, 
女,35,5973,98,woman,female,,,,,,,,,, 
序,710,5E8F,1594,preface,beginning,order,precedence,occasion,chance,incidentally,,,,, 
徐,1385,5F90,1659,gradually,slowly,deliberately,gently,,,,,,,, 
恕,,6055,2434,excuse,tolerate,forgive,,,,,,,,, 
鋤,,92E4,2756,spade up,plow,,,,,,,,,, 
除,711,9664,1658,exclude,division (x/3),remove,abolish,cancel,except,,,,,, 
傷,901,50B7,996,wound,hurt,injure,impair,pain,injury,cut,gash,scar,weak point,, 
償,1412,511F,985,reparation,make up for,recompense,redeem,,,,,,,, 
勝,319,52DD,1209,victory,win,prevail,excel,,,,,,,, 
匠,1388,5320,1693,artisan,workman,carpenter,,,,,,,,, 
升,1386,5347,42,measuring box,1.8 liter,,,,,,,,,, 
召,1387,53EC,86,seduce,call,send for,wear,put on,ride in,buy,eat,drink,catch (cold),, 
哨,,54E8,2154,scout,sentinel,,,,,,,,,, 
商,317,5546,439,make a deal,selling,dealing in,merchant,,,,,,,, 
唱,508,5531,21,chant,recite,call upon,yell,,,,,,,, 
嘗,,5617,2870,once,before,formerly,ever,never,ex-,lick,lap up,burn up,taste,undergo,underrate 
奨,1408,5968,732,exhort,urge,encourage,,,,,,,,, 
妾,,59BE,2622,concubine,,,,,,,,,,, 
娼,,5A3C,2198,prostitute,,,,,,,,,,, 
宵,1396,5BB5,189,wee hours,evening,early night,,,,,,,,, 
将,899,5C06,731,leader,commander,general,admiral,or,and again,soon,from now on,just about,,, 
小,36,5C0F,105,little,small,,,,,,,,,, 
少,143,5C11,106,few,little,,,,,,,,,, 
尚,1392,5C1A,184,esteem,furthermore,still,yet,,,,,,,, 
庄,,5E84,2238,level,,,,,,,,,,, 
床,1389,5E8A,592,bed,counter for beds,floor,padding,tatami,,,,,,, 
彰,1410,5F70,1715,patent,clear,,,,,,,,,, 
承,713,627F,1901,acquiesce,hear,listen to,be informed,receive,,,,,,, 
抄,1390,6284,647,extract,selection,summary,copy,spread thin,,,,,,, 
招,712,62DB,650,beckon,invite,summon,engage,,,,,,,, 
掌,1402,638C,801,manipulate,rule,administer,conduct,palm of hand,,,,,,, 
捷,,6377,2273,victory,fast,,,,,,,,,, 
昇,1393,6607,43,rise up,,,,,,,,,,, 
昌,,660C,25,prosperous,bright,clear,,,,,,,,, 
昭,315,662D,87,shining,bright,,,,,,,,,, 
晶,1403,6676,22,sparkle,clear,crystal,,,,,,,,, 
松,1394,677E,785,pine tree,,,,,,,,,,, 
梢,,68A2,201,treetops,twig,,,,,,,,,, 
樵,,6A35,2478,woodcutting,lumberjack,,,,,,,,,, 
沼,1395,6CBC,137,marsh,lake,bog,swamp,pond,,,,,,, 
消,316,6D88,144,extinguish,blow out,turn off,neutralize,cancel,,,,,,, 
渉,1399,6E09,372,ford,ferry,port,,,,,,,,, 
焼,509,713C,1200,bake,burning,,,,,,,,,, 
焦,1404,7126,557,char,hurry,impatient,irritate,burn,scorch,singe,,,,, 
照,510,7167,170,illuminate,shine,compare,bashful,,,,,,,, 
症,1397,75C7,1685,symptoms,illness,,,,,,,,,, 
省,516,7701,124,focus,government ministry,conserve,,,,,,,,, 
硝,1405,785D,115,nitrate,saltpeter,,,,,,,,,, 
礁,1413,7901,558,reef,sunken rock,,,,,,,,,, 
祥,1398,7965,1088,auspicious,happiness,blessedness,good omen,good fortune,,,,,,, 
称,714,79F0,905,appellation,praise,admire,name,title,fame,,,,,, 
章,318,7AE0,433,badge,chapter,composition,poem,design,,,,,,, 
笑,900,7B11,938,laugh,,,,,,,,,,, 
粧,1406,7CA7,923,cosmetics,adorn (one's person),,,,,,,,,, 
紹,1400,7D39,1359,introduce,inherit,help,,,,,,,,, 
肖,1391,8096,114,resemblance,,,,,,,,,,, 
菖,,83D6,2366,iris,,,,,,,,,,, 
蕉,,8549,2367,banana,,,,,,,,,,, 
衝,1411,885D,1680,collide,brunt,highway,opposition (astronomy),thrust,pierce,stab,prick,,,, 
裳,,88F3,800,skirt,,,,,,,,,,, 
訟,1401,8A1F,787,sue,accuse,,,,,,,,,, 
証,715,8A3C,380,evidence,proof,certificate,,,,,,,,, 
詔,1407,8A54,342,imperial edict,,,,,,,,,,, 
詳,1409,8A73,550,detailed,full,minute,accurate,well-informed,,,,,,, 
象,533,8C61,1976,elephant,pattern after,imitate,image,shape,sign (of the times),,,,,, 
賞,511,8CDE,796,prize,reward,praise,,,,,,,,, 
醤,,91A4,2746,a kind of miso,,,,,,,,,,, 
鉦,,9266,2770,bell,gong,chimes,,,,,,,,, 
鍾,,937E,2772,spindle,gather,collect,,,,,,,,, 
鐘,1414,9418,438,bell,gong,chimes,,,,,,,,, 
障,902,969C,1297,hinder,hurt,harm,,,,,,,,, 
鞘,,9798,2784,sheath,case,margin,difference,shells (of beans),,,,,,, 
上,37,4E0A,49,above,up,,,,,,,,,, 
丈,1415,4E08,691,length,10feet,measure,Mr.,Ms.,height,stature,all (one has),only,that's all,merely, 
丞,,4E1E,2919,help,,,,,,,,,,, 
乗,320,4E57,1585,ride,power,multiplication,record,counter for vehicles,board,mount,join,,,, 
冗,1416,5197,300,superfluous,uselessness,,,,,,,,,, 
剰,1418,5270,1586,surplus,besides,,,,,,,,,, 
城,903,57CE,362,castle,,,,,,,,,,, 
場,144,5834,545,location,place,,,,,,,,,, 
壌,1421,58CC,1529,lot,earth,soil,,,,,,,,, 
嬢,1422,5B22,1530,lass,girl,Miss,daughter,,,,,,,, 
常,718,5E38,799,usual,ordinary,normal,regular,,,,,,,, 
情,719,60C5,1537,feelings,emotion,passion,sympathy,circumstances,facts,,,,,, 
擾,,64FE,2268,disturb,throw into confusion,,,,,,,,,, 
条,716,6761,298,article,clause,item,stripe,streak,,,,,,, 
杖,,6756,2504,staff,cane,,,,,,,,,, 
浄,1417,6D44,1155,clean,purify,cleanse,exorcise,Manchu Dynasty,,,,,,, 
状,717,72B6,239,status quo,conditions,circumstances,form,appearance,,,,,,, 
畳,1419,7573,1784,tatami mat,counter for tatami mats,fold,shut up,do away with,,,,,,, 
穣,,7A63,2609,good crops,prosperity,10**28,,,,,,,,, 
蒸,904,84B8,1900,steam,heat,sultry,foment,get musty,,,,,,, 
譲,1424,8B72,1528,defer,turnover,transfer,convey,,,,,,,, 
醸,1425,91B8,1527,brew,cause,,,,,,,,,, 
錠,1423,9320,383,lock,fetters,shackles,,,,,,,,, 
嘱,1429,5631,1954,entrust,request,send a message,,,,,,,,, 
埴,,57F4,2183,clay,,,,,,,,,,, 
飾,1427,98FE,1477,decorate,ornament,adorn,embellish,,,,,,,, 
拭,,62ED,2254,wipe,mop,swab,,,,,,,,, 
植,321,690D,205,plant,,,,,,,,,,, 
殖,1426,6B96,811,augment,increase,multiply,raise,,,,,,,, 
燭,,71ED,2539,light,candlepower,,,,,,,,,, 
織,720,7E54,1334,weave,fabric,,,,,,,,,, 
職,721,8077,824,post,employment,work,,,,,,,,, 
色,145,8272,1753,color,,,,,,,,,,, 
触,1428,89E6,1813,contact,touch,feel,hit,proclaim,announce,conflict,,,,, 
食,146,98DF,1472,eat,food,,,,,,,,,, 
蝕,,8755,2800,eclipse,occultation,be defective,,,,,,,,, 
辱,1430,8FB1,2009,embarrass,humiliate,shame,,,,,,,,, 
尻,,5C3B,2220,buttocks,hips,butt,rear,,,,,,,, 
伸,1431,4F38,1118,expand,stretch,extend,lengthen,increase,,,,,,, 
信,513,4FE1,969,faith,truth,fidelity,trust,,,,,,,, 
侵,1433,4FB5,1148,encroach,invade,raid,trespass,violate,,,,,,, 
唇,1435,5507,2013,lips,,,,,,,,,,, 
娠,1436,5A20,2012,with child,pregnancy,,,,,,,,,, 
寝,1441,5BDD,1150,lie down,sleep,rest,bed,remain unsold,,,,,,, 
審,1443,5BE9,1910,hearing,judge,trial,,,,,,,,, 
心,147,5FC3,595,heart,mind,spirit,heart radical (no. 61),,,,,,,, 
慎,1442,614E,630,humility,be careful,discrete,prudent,,,,,,,, 
振,1437,632F,2011,shake,wave,wag,swing,,,,,,,, 
新,148,65B0,1502,new,,,,,,,,,,, 
晋,,664B,2436,advance,,,,,,,,,,, 
森,38,68EE,197,forest,woods,,,,,,,,,, 
榛,,699B,2475,hazelnut,filbert,,,,,,,,,, 
浸,1438,6D78,1149,immersed,soak,dip,steep,moisten,wet,dunk,,,,, 
深,325,6DF1,1328,deep,heighten,intensify,strengthen,,,,,,,, 
申,322,7533,1117,have the honor to,sign of the monkey,3-5PM,ninth sign of Chinese zodiac,,,,,,,, 
疹,,75B9,2574,measles,sickness,,,,,,,,,, 
真,514,771F,75,true,reality,Buddhist sect,,,,,,,,, 
神,324,795E,1119,gods,mind,soul,,,,,,,,, 
秦,,79E6,2877,Manchu dynasty,name given to naturalized foreigners,,,,,,,,,, 
紳,1439,7D33,1361,sire,good belt,gentleman,,,,,,,,, 
臣,512,81E3,848,retainer,subject,,,,,,,,,, 
芯,,82AF,2368,wick,,,,,,,,,,, 
薪,1445,85AA,1503,fuel,firewood,kindling,,,,,,,,, 
親,149,89AA,1504,parent,intimacy,relative,familiarity,dealer (cards),,,,,,, 
診,1440,8A3A,1724,checkup,seeing,diagnose,examine,,,,,,,, 
身,323,8EAB,1248,somebody,person,one's station in life,,,,,,,,, 
辛,1432,8F9B,1496,spicy,bitter,hot,acrid,,,,,,,, 
進,326,9032,561,advance,proceed,progress,promote,,,,,,,, 
針,905,91DD,274,needle,pin,staple,stinger,,,,,,,, 
震,1444,9707,2010,quake,shake,tremble,quiver,shiver,,,,,,, 
人,39,4EBA,951,person,,,,,,,,,,, 
仁,906,4EC1,988,humanity,virtue,benevolence,charity,man,kernel,,,,,, 
刃,1446,5203,84,blade,sword,edge,,,,,,,,, 
塵,,5875,2838,dust,trash,garbage,,,,,,,,, 
尋,1451,5C0B,1145,inquire,fathom,look for,,,,,,,,, 
甚,1449,751A,1768,tremendously,very,great,exceedingly,,,,,,,, 
尽,1447,5C3D,1071,exhaust,use up,run out of,deplete,befriend,serve,,,,,, 
腎,,814E,2453,kidney,,,,,,,,,,, 
訊,,8A0A,2713,request,question,investigate,,,,,,,,, 
迅,1448,8FC5,280,swift,fast,,,,,,,,,, 
陣,1450,9663,1305,camp,battle array,ranks,position,,,,,,,, 
靭,,976D,2786,soft,pliable,quiver,,,,,,,,, 
笥,,7B25,2635,lunch box,clothes chest,,,,,,,,,, 
諏,,8ACF,2722,consult,,,,,,,,,,, 
須,,9808,1718,ought,by all means,necessarily,,,,,,,,, 
酢,1300,9162,1434,vinegar,sour,acid,tart,,,,,,,, 
図,150,56F3,1180,map,drawing,plan,unexpected,accidentally,,,,,,, 
厨,,53A8,2152,kitchen,,,,,,,,,,, 
逗,,9017,2423,stop,,,,,,,,,,, 
吹,1452,5439,467,blow,breathe,puff,emit,smoke,,,,,,, 
垂,907,5782,1582,droop,suspend,hang,slouch,,,,,,,, 
帥,1454,5E25,1270,commander,leading troops,governor,,,,,,,,, 
推,908,63A8,663,conjecture,infer,guess,suppose,support,,,,,,, 
水,40,6C34,130,water,,,,,,,,,,, 
炊,1453,708A,468,cook,boil,,,,,,,,,, 
睡,1459,7761,1583,drowsy,sleep,die,,,,,,,,, 
粋,1455,7C8B,925,chic,style,purity,essence,pith,cream,elite,choice,,,, 
翠,,7FE0,2863,green,,,,,,,,,,, 
衰,1456,8870,1890,decline,wane,weaken,,,,,,,,, 
遂,1458,9042,540,consummate,accomplish,attain,commit (suicide),,,,,,,, 
酔,1457,9154,1435,drunk,feel sick,poisoned,elated,spellbound,,,,,,, 
錐,,9310,2760,auger,drill,awl,pyramid,cone,,,,,,, 
錘,1461,9318,1584,weight,plumb bob,sinker,,,,,,,,, 
随,1462,968F,1298,follow,though,notwithstanding,while,during,both,all,obey,submit to,comply,at the mercy of (the waves), 
瑞,,745E,2563,congratulations,,,,,,,,,,, 
髄,1463,9AC4,1290,marrow,pith,,,,,,,,,, 
崇,1465,5D07,1101,adore,respect,revere,worship,,,,,,,, 
嵩,,5D69,2224,be aggravated,grow worse,grow bulky,swell,,,,,,,, 
数,151,6570,929,number,strength,fate,law,figures,,,,,,, 
枢,1464,67A2,1697,hinge,pivot,door,,,,,,,,, 
趨,,8DA8,2086,run,go,quick,tend towards,,,,,,,, 
雛,,96DB,2085,chick,squab,duckling,doll,,,,,,,, 
据,1466,636E,1064,set,lay a foundation,install,equip,squat down,sit down,,,,,, 
杉,1467,6749,1713,cedar,cryptomeria,,,,,,,,,, 
椙,,6919,2528,Japanese cedar,cryptomeria,(kokuji),,,,,,,,, 
菅,,83C5,2410,sedge,,,,,,,,,,, 
頗,,9817,2793,prejudiced,exceedingly,,,,,,,,,, 
雀,,96C0,2878,sparrow,,,,,,,,,,, 
裾,,88FE,2624,cuff,hem,foot of mountain,,,,,,,,, 
澄,1597,6F84,1704,lucidity,be clear,clear,clarify,settle,strain,look grave,,,,, 
摺,,647A,2258,rub,fold,print (on cloth),,,,,,,,, 
寸,909,5BF8,45,measurement,foot/10,,,,,,,,,, 
世,327,4E16,28,generation,world,society,public,,,,,,,, 
瀬,1469,702C,1666,rapids,current,torrent,shallows,shoal,,,,,,, 
畝,1468,755D,1017,furrow,30 tsubo,ridge,rib,,,,,,,, 
是,910,662F,388,just so,this,right,justice,,,,,,,, 
凄,,51C4,2133,uncanny,weird,threatening,horrible,,,,,,,, 
制,722,5236,418,system,law,rule,,,,,,,,, 
勢,518,52E2,1515,forces,energy,military strength,,,,,,,,, 
姓,1471,59D3,1557,surname,,,,,,,,,,, 
征,1472,5F81,881,subjugate,attack the rebellious,collect taxes,,,,,,,,, 
性,723,6027,1558,sex,gender,nature,,,,,,,,, 
成,515,6210,361,turn into,become,get,grow,elapse,reach,,,,,, 
政,724,653F,381,politics,government,,,,,,,,,, 
整,328,6574,1670,organize,arranging,tune,tone,meter,key (music),,,,,, 
星,154,661F,1556,star,spot,dot,mark,,,,,,,, 
晴,155,6674,1538,clear up,,,,,,,,,,, 
棲,,68F2,2496,live,dwell,,,,,,,,,, 
栖,,6816,2497,nest,rookery,hive,cobweb,den,,,,,,, 
正,41,6B63,379,correct,justice,righteous,10**40,,,,,,,, 
清,517,6E05,1539,pure,purify,cleanse,exorcise,Manchu dynasty,,,,,,, 
牲,1474,7272,1559,animal sacrifice,offering,,,,,,,,,, 
生,42,751F,1555,life,genuine,birth,,,,,,,,, 
盛,1476,76DB,1457,boom,prosper,copulate,,,,,,,,, 
精,725,7CBE,1535,refined,ghost,fairy,energy,vitality,semen,excellence,purity,skill,,, 
聖,911,8056,825,holy,saint,sage,master,priest,,,,,,, 
声,153,58F0,1896,voice,,,,,,,,,,, 
製,726,88FD,419,made in...,manufacture,,,,,,,,,, 
西,152,897F,1602,west,Spain,,,,,,,,,, 
誠,912,8AA0,363,sincerity,admonish,warn,prohibit,truth,fidelity,,,,,, 
誓,1478,8A93,1133,vow,swear,pledge,,,,,,,,, 
請,1479,8ACB,1536,solicit,invite,ask,,,,,,,,, 
逝,1475,901D,1132,departed,die,,,,,,,,,, 
醒,,9192,2750,awake,be disillusioned,sober up,,,,,,,,, 
青,43,9752,1534,blue,green,,,,,,,,,, 
静,519,9759,1540,quiet,,,,,,,,,,, 
斉,1473,6589,1729,adjusted,alike,equal,similar variety of,,,,,,,, 
税,727,7A0E,895,tax,duty,,,,,,,,,, 
脆,,8106,2462,brittle,fragile,easy to beat,sentimental,susceptible,,,,,,, 
隻,1483,96BB,699,vessels,counter for ships,fish,birds,arrows,one of a pair,,,,,, 
席,520,5E2D,1193,seat,mat,occasion,place,,,,,,,, 
惜,1484,60DC,1187,pity,be sparing of,frugal,stingy,regret,,,,,,, 
戚,,621A,2882,grieve,,,,,,,,,,, 
斥,1480,65A5,1138,reject,retreat,recede,withdraw,repel,repulse,,,,,, 
昔,1481,6614,1184,once upon a time,antiquity,old times,,,,,,,,, 
析,1482,6790,1126,chop,divide,tear,analyze,,,,,,,, 
石,45,77F3,113,stone,,,,,,,,,,, 
積,521,7A4D,1543,volume,product (x*y),acreage,contents,pile up,stack,load,amass,,,, 
籍,1486,7C4D,1567,enroll,domiciliary register,membership,,,,,,,,, 
績,729,7E3E,1542,exploits,unreeling cocoons,,,,,,,,,, 
脊,,810A,2071,stature,height,,,,,,,,,, 
責,728,8CAC,1541,blame,condemn,censure,,,,,,,,, 
赤,46,8D64,1743,red,,,,,,,,,,, 
跡,1485,8DE1,1746,tracks,mark,print,impression,,,,,,,, 
蹟,,8E5F,2743,remains,traces,footprint,,,,,,,,, 
碩,,78A9,2593,large,great,eminent,,,,,,,,, 
切,156,5207,85,cut,cutoff,be sharp,,,,,,,,, 
拙,1487,62D9,769,bungling,clumsy,unskillful,,,,,,,,, 
接,730,63A5,672,touch,contact,adjoin,piece together,,,,,,,, 
摂,1489,6442,1739,vicarious,surrogate,act in addition to,,,,,,,,, 
折,522,6298,1130,fold,break,fracture,bend,yield,submit,,,,,, 
設,731,8A2D,708,establishment,provision,prepare,,,,,,,,, 
窃,1488,7A83,1322,stealth,steal,secret,private,hushed,,,,,,, 
節,523,7BC0,1464,node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle,knob,knot 
説,524,8AAC,499,rumor,opinion,theory,,,,,,,,, 
雪,157,96EA,1143,snow,,,,,,,,,,, 
絶,733,7D76,1754,discontinue,beyond,sever,cut off,abstain,interrupt,suppress,,,,, 
舌,732,820C,41,tongue,reed,clapper,,,,,,,,, 
蝉,,8749,2692,cicada,,,,,,,,,,, 
仙,1490,4ED9,986,hermit,wizard,cent,,,,,,,,, 
先,49,5148,248,before,ahead,previous,future,precedence,,,,,,, 
千,47,5343,40,thousand,,,,,,,,,,, 
占,1491,5360,48,fortune-telling,divining,forecasting,occupy,hold,have,get,take,,,, 
宣,913,5BA3,188,proclaim,say,announce,,,,,,,,, 
専,914,5C02,46,specialty,exclusive,mainly,solely,,,,,,,, 
尖,,5C16,2903,be pointed,sharp,taper,displeased,angry,edgy,,,,,, 
川,48,5DDD,127,stream,river,river or 3-stroke river radical (no. 47),,,,,,,,, 
戦,526,6226,1929,war,battle,match,,,,,,,,, 
扇,1492,6247,1079,fan,folding fan,,,,,,,,,, 
撰,,64B0,2253,composing,editing,compiling,selecting,,,,,,,, 
栓,1493,6813,264,plug,bolt,cork,bung,stopper,,,,,,, 
泉,915,6CC9,133,spring,fountain,,,,,,,,,, 
浅,525,6D45,369,shallow,superficial,frivolous,wretched,shameful,,,,,,, 
洗,916,6D17,249,wash,inquire into,probe,,,,,,,,, 
染,917,67D3,509,dye,color,paint,stain,print,,,,,,, 
潜,1497,6F5C,844,submerge,conceal,hide,lower (voice),hush,,,,,,, 
煎,,714E,2548,broil,parch,roast,boil,,,,,,,, 
煽,,717D,2540,fan,flap,instigate,agitate,bolster up,gulp down,,,,,, 
旋,1494,65CB,1046,rotation,go around,,,,,,,,,, 
穿,,7A7F,2616,put on (to the feet),dig,pierce,drill,,,,,,,, 
箭,,7BAD,2636,arrow,,,,,,,,,,, 
線,329,7DDA,1339,line,track,,,,,,,,,, 
繊,1500,7E4A,1790,slender,fine,thin kimono,,,,,,,,, 
羨,,7FA8,553,envious,be jealous,covet,,,,,,,,, 
腺,,817A,2466,gland,,,,,,,,,,, 
船,158,8239,1874,ship,boat,,,,,,,,,, 
薦,1499,85A6,2000,recommend,mat,advise,encourage,offer,,,,,,, 
詮,,8A6E,2717,discussion,methods called for,selection,result,,,,,,,, 
賎,,8CCE,2735,despise,low-life,poverty,,,,,,,,, 
践,1495,8DF5,1286,tread,step on,trample,practice,carry through,,,,,,, 
選,527,9078,1804,elect,select,choose,prefer,,,,,,,, 
遷,1498,9077,1610,transition,move,change,,,,,,,,, 
銭,734,92AD,368,coin,.01 yen,money,,,,,,,,, 
銑,1496,9291,270,pig iron,,,,,,,,,,, 
閃,,9583,2774,flash,brandish,,,,,,,,,, 
鮮,1501,9BAE,551,fresh,vivid,clear,brilliant,Korea,,,,,,, 
前,159,524D,290,in front,before,,,,,,,,,, 
善,735,5584,1035,virtuous,good,goodness,,,,,,,,, 
漸,1503,6F38,1135,steadily,gradually advancing,finally,barely,,,,,,,, 
然,528,7136,241,sort of thing,so,if so,in that case,well,,,,,,, 
全,330,5168,263,whole,entire,all,complete,fulfill,,,,,,, 
禅,1502,7985,1930,Zen,silent meditation,,,,,,,,,, 
繕,1504,7E55,1335,darning,repair,mend,trim,tidy up,adjust,,,,,, 
膳,,81B3,2468,small low table,tray,,,,,,,,,, 
糎,,7CCE,2947,centimeter,(kokuji),,,,,,,,,, 
噌,,564C,2177,boisterous,,,,,,,,,,, 
塑,1511,5851,1960,model,molding,,,,,,,,,, 
措,1507,63AA,1188,set aside,give up,suspend,discontinue,lay aside,except,,,,,, 
曽,,66FD,501,formerly,once,before,ever,never,ex-,,,,,, 
狙,,72D9,2344,aim at,sight,shadow,stalk,,,,,,,, 
疏,,758F,2922,pass through,note,commentary,estrangement,sparseness,neglect,,,,,, 
疎,1509,758E,1668,alienate,rough,neglect,shun,sparse,,,,,,, 
礎,1512,790E,394,cornerstone,foundation stone,,,,,,,,,, 
祖,736,7956,1779,ancestor,pioneer,founder,,,,,,,,, 
租,1506,79DF,1778,tariff,crop tax,borrowing,,,,,,,,, 
粗,1508,7C97,1777,coarse,rough,rugged,,,,,,,,, 
素,737,7D20,1532,elementary,principle,naked,uncovered,,,,,,,, 
組,160,7D44,1776,association,braid,plait,construct,assemble,unite,cooperate,grapple,,,, 
蘇,,8607,2380,be resuscitated,revived,,,,,,,,,, 
訴,1510,8A34,1139,accusation,sue,complain of pain,appeal to,,,,,,,, 
阻,1505,963B,1780,thwart,separate from,prevent,obstruct,deter,impede,,,,,, 
遡,,9061,2847,go upstream,retrace the past,,,,,,,,,, 
鼠,,9F20,2065,rat,mouse,dark gray,,,,,,,,, 
僧,1525,50E7,982,Buddhist priest,monk,,,,,,,,,, 
創,920,5275,1631,genesis,wound,injury,hurt,start,originate,,,,,, 
双,1513,53CC,697,pair,set,comparison,counter for pairs,,,,,,,, 
叢,,53E2,2895,plexus,clump of bushes,thicket,,,,,,,,, 
倉,531,5009,1630,godown,warehouse,storehouse,cellar,treasury,,,,,,, 
喪,1522,55AA,1926,miss,mourning,,,,,,,,,, 
壮,1514,58EE,321,robust,manhood,prosperity,,,,,,,,, 
奏,918,594F,1571,play music,speak to a ruler,complete,,,,,,,,, 
爽,,723D,2855,refreshing,bracing,resonant,sweet,clear,,,,,,, 
宋,,5B8B,2215,dwell,Sung dynasty,,,,,,,,,, 
層,921,5C64,1065,stratum,social class,layer,story,floor,,,,,,, 
惣,,60E3,2432,all,,,,,,,,,,, 
想,532,60F3,609,concept,think,idea,thought,,,,,,,, 
捜,1516,635C,1120,search,look for,locate,,,,,,,,, 
掃,1519,6383,1152,sweep,brush,,,,,,,,,, 
挿,1517,633F,1116,insert,put in,graft,wear (sword),,,,,,,, 
掻,,63BB,2252,scratch,rake,comb,paddle,behead,,,,,,, 
操,922,64CD,671,maneuver,manipulate,operate,steer,chastity,virginity,fidelity,,,,, 
早,50,65E9,26,early,fast,,,,,,,,,, 
曹,1520,66F9,1173,cadet,friend,,,,,,,,,, 
巣,1521,5DE3,1927,nest,rookery,hive,cobweb,den,,,,,,, 
槍,,69CD,2516,spear,lance,javelin,,,,,,,,, 
槽,1527,69FD,1176,vat,tub,tank,,,,,,,,, 
漕,,6F15,1175,rowing,scull,paddle,,,,,,,,, 
燥,1528,71E5,215,parch,dry up,,,,,,,,,, 
争,529,4E89,1154,contend,dispute,argue,,,,,,,,, 
痩,,75E9,2577,get thin,,,,,,,,,,, 
相,530,76F8,209,inter-,mutual,together,each other,minister of state,councillor,aspect,phase,physiognomy,,, 
窓,919,7A93,749,window,pane,,,,,,,,,, 
糟,,7CDF,2649,dregs,sediment,grounds,,,,,,,,, 
総,738,7DCF,1366,general,whole,all,full,total,,,,,,, 
綜,,7D9C,2660,rule,,,,,,,,,,, 
聡,,8061,2677,wise,fast learner,,,,,,,,,, 
草,162,8349,224,grass,weeds,herbs,pasture,write,draft,,,,,, 
荘,1515,8358,322,villa,inn,cottage,feudal manor,,,,,,,, 
葬,1523,846C,816,interment,bury,shelve,,,,,,,,, 
蒼,,84BC,2399,blue,pale,,,,,,,,,, 
藻,1531,85FB,2035,seaweed,duckweed,,,,,,,,,, 
装,1524,88C5,398,attire,dress,pretend,disguise,profess,,,,,,, 
走,161,8D70,384,run,,,,,,,,,,, 
送,331,9001,2016,escort,send,,,,,,,,,, 
遭,1526,906D,1174,encounter,meet,party,association,interview,join,,,,,, 
霜,1529,971C,426,frost,,,,,,,,,,, 
騒,1530,9A12,1985,boisterous,make noise,clamor,disturb,excite,,,,,,, 
像,740,50CF,1977,statue,picture,image,figure,portrait,,,,,,, 
増,741,5897,502,increase,add,augment,gain,promote,,,,,,, 
憎,1532,618E,626,hate,detest,,,,,,,,,, 
臓,924,81D3,851,entrails,viscera,bowels,,,,,,,,, 
蔵,923,8535,850,storehouse,hide,own,have,possess,,,,,,, 
贈,1533,8D08,503,presents,send,give to,award to,confer on,presenting something,,,,,, 
造,739,9020,281,create,make,structure,physique,,,,,,,, 
促,1536,4FC3,1280,stimulate,urge,press,demand,incite,,,,,,, 
側,535,5074,975,side,lean,oppose,regret,,,,,,,, 
則,742,5247,88,rule,follow,based on,model after,,,,,,,, 
即,1534,5373,1462,instant,namely,as is,conform,agree,adapt,,,,,, 
息,332,606F,610,breath,respiration,son,interest (on money),,,,,,,, 
捉,,6349,2260,catch,capture,,,,,,,,,, 
束,1535,675F,1664,bundle,sheaf,ream,tie in bundles,govern,manage,control,,,,, 
測,743,6E2C,149,fathom,plan,scheme,measure,,,,,,,, 
足,51,8DB3,1279,leg,foot,be sufficient,counter for pairs of footwear,,,,,,,, 
速,534,901F,1669,quick,fast,,,,,,,,,, 
俗,925,4FD7,968,vulgar,customs,manners,worldliness,mundane things,,,,,,, 
属,744,5C5E,1953,belong,genus,subordinate official,affiliated,,,,,,,, 
賊,1537,8CCA,357,burglar,rebel,traitor,robber,,,,,,,, 
族,333,65CF,1222,tribe,family,,,,,,,,,, 
続,536,7D9A,1345,continue,series,sequel,,,,,,,,, 
卒,537,5352,1025,graduate,soldier,private,die,,,,,,,, 
袖,,8896,1108,sleeve,wing (building),extension,give cold shoulder,,,,,,,, 
揃,,63C3,2255,be complete,uniform,all present,,,,,,,,, 
